SuperCategory,Run_ID,Sample_ID,Label,Score_Original,Score_Removed,Removed_Rationales
alt,0,0,Normal,0.821520209312439,0.8178303241729736,"['several', 'for', ""'"", 'religious', 'periodically', '.', 'are', '##ity', 've', 'point', ""'"", '>', 'knowledge', 'should', '.', 'i', ',', '.', '""', '>', 'when', 'no', '##vable', 'but', 't']"
alt,0,1,Normal,0.8107163906097412,0.8093651533126831,"['to', 'that', 'they', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,2,Normal,0.8057613968849182,0.815654456615448,"['be', '""', '.', '.', 'broken', '.', 'have', '""', 'promises', 'than', 'that', 'reason', 'everything', '""', 'that', 'made', '""', 't', 'to', 'been', 'you', '-', '##vn', 'red', '##ef']"
alt,0,3,Normal,0.8197002410888672,0.8262143135070801,"['i', 'that', '""', '.', 'know', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,4,Normal,0.8191003203392029,0.8153789043426514,"['to', 'wonder', 'how', '##s', 'finland', 'case', 'finland', 'many', 'the', '90', 'the', '.', 'christianity', 'atheist', 'of', 'be', '##ath', 'members', 'of', 'least', 'there', 'the', 'religious', '##s', 'since']"
alt,0,160,Anomaly,0.8283078670501709,0.8266339302062988,"['resolution', 'following', 'want', 'i', ""'"", 'on', 'been', 'discussions', '.', 've', '##tina', '##s', '4000', 'amiga', 'products', 'this', '##vision', 'that', '##4', 'en', 'on', 'w', 're', ',', 's']"
alt,0,161,Anomaly,0.8221880793571472,0.8192722201347351,"['.', 'fortunately', 'have', ""'"", 'that', 'to', 'between', 'to', 'herb', 'pre', ')', 'to', '##tin', 'techniques', '##s', '##dis', 'ru', ',', 'experiences', '##du', ',', 'd', 'of', 'to', 'is']"
alt,0,162,Anomaly,0.8254632949829102,0.8210489749908447,"['louis', 'you', 'those', 'll', 'i', '.', ""'"", 'i', 'mapped', 'send', '.', 'sphere', 'got', 'it', '.', 'okay', 'if', ',', 'you', 'e', 'and', '##less', 't', 'me', ')']"
alt,0,163,Anomaly,0.825334906578064,0.8312819004058838,"['risk', '.', 'the', 'on', 'of', 's', 'clip', 'the', 'com', ""'"", 'be', 'd', 'in', '.', 'the', ""'"", '.', '##isation', '.', 'it', 'dec', 'pretty', 'encryption', 'say', 'initial']"
alt,0,164,Anomaly,0.8200795650482178,0.8162339925765991,"['the', 'conception', 'public', 'didn', 'seriously', 'church', 'i', 'that', 'difference', 'licence', 'vow', 'right', 'make', 'once', ""'"", 'queer', 'the', 'of', '/', 'that', 'then', 'about', ',', 'commitment', '##se']"
